plu_no,description
1,BEEF BONELESS SCOTCH FILLET
2,BEEF BONELESS SLICED CHUCK
3,BEEF BONELESS RUMP STEAK
4,BEEF BONE-IN T-BONE STEAK
5,BEEF BONELESS POINT BLADE
6,BEEF BONELESS BLADE
7,BEEF BONELESS DICED BLADE
8,BEEF BONE-IN Y-BONE STEAK
9,SMALL BBQ PACK
10,MEAT TRAYS - LARGE
11,BEEF BONELESS BLADE STEAK
12,BEEF BONELESS CUBE ROLL SANDWICH STEAK
13,BEEF BONELESS CUBE ROLL
14,BEEF BONELESS GRAIN FED CUBE ROLL SLICED
15,BEEF BONELESS TENDERLOIN
16,BEEF BONELESS DICED STEAK
17,BEEF BONELESS BEEF STRIPS
18,BEEF BONELESS TENDERLOIN SLICED
19,BEEF BONELESS FILLET MIGNONS
20,BEEF BONELESS BEEF MINCE
21,BEEF BONELESS BUTT TENDERLOIN
22,BEEF BONELESS RUMP MEDALLION 400G
23,BEEF BONELESS RUMP
24,BBQ SAUSAGES
25,THICK BEEF SAUSAGES
26,BEEF BONELESS RUMP MEDALLION 250 GM
27,BEEF BONELESS STRIPLOIN
28,BEEF BONELESS STRIPLOIN SLICED
29,BEEF BONELESS CORNED SILVERSIDE
30,BEEF BONELESS TOPSIDE
31,BEEF BONE-IN OX TAIL
32,BEEF BONELESS CAP OFF TOPSIDE
33,BEEF BONELESS TOPSIDE STRIPS
34,BEEF BONELESS TOPSIDE MINCE PRESERVATIVE ADDED
35,BEEF BONELESS SCHNITZEL
36,BEEF BONELESS CRUMBED BEEF SCHNITZEL
37,BEEF BONELESS SILVERSIDE CONTAINS NITRITE
38,SLICED SILVERSIDE CONTAINS NITRITE
39,CORNED SILVERSIDE CONTAINS NITRITE
40,LAMB BONELESS LAMB LEG ROAST
41,SILVERSIDE EYES
42,BEEF BONE-IN KNUCKLE
43,BEEF BONE-IN KNUCKLE STEAK SLICED & TENDERIZED
44,LAMB BONE-IN DICED LAMB
45,BEEF BONE-IN KNUCKLE SANDWICH STEAK
46,BEEF BONELESS GRAVY BEEF
47,BEEF BONELESS DICED GRAVY BEEF
48,PORK BONELESS PORK LEG ROAST
49,PORK BONE-IN PORK LOIN CHOPS
50,BEEF BONE-IN COUNTER T BONES
51,PORK BONE-IN PORK SPARE RIBS
52,BEEF PREMIUM SAUSAGE MEAT PRESERVATIVE 223 ADDED SULPHITE >10MG/KG
53,3MM BEEF PREMIUM SAUSAGE MEAT PRESERVATIVE 223 ADDED SULPHITE >10MG/KG
54,PORK BONE-IN DICED PORK
55,5MM BEEF PREMIUM SAUSAGE MEAT PRESERVATIVE 223 ADDED SULPHITE >10MG/KG
56,10MM BEEF PREMIUM SAUSAGE MEAT PRESERVATIVE 223 ADDED SULPHITE >10MG/KG
57,20MM BEEF PREMIUM SAUSAGE MEAT PRESERVATIVE 223 ADDED SULPHITE >10MG/KG
58,PORK & VEAL PREMIUM SAUSAGE MEAT PRESERVATIVE 223 ADDED SULPHITE >10MG/KG
59,BEEF BONELESS BEEF BRISKET BONELESS
60,BEEF BONELESS BEEF KEBABS
61,BEEF BONELESS BEEF STRIPS
62,BEEF BONE-IN BEEF BONES
63,BEEF BONE-IN BEEF NECK BONES
64,BEEF BONE-IN BEEF MARROW BONES
65,BEEF BONELESS DICED STEAK
66,BEEF BONELESS DICED STEAK HAND CUT
67,GLUTEN FREE HONEY SOY MARINADE CHICKEN 20KG BOX CONTAINS SOY & SESAME
68,CHICKEN BREAST FILLET SKIN OFF FROZEN
69,BEEF BONELESS BEEF ASIAN CUT
70,BEEF BONELESS MSA3 RUMP
71,BEEF BONELESS MSA3 CUBE ROLL
72,BEEF BONELESS MSA3 STRIPLOIN
73,BEEF BONELESS MARINATED STEAK
74,BONELESS BRISKET
75,BEEF BONELESS STRIPLOIN DENUDED
76,BEEF BONELESS MARINATED BEEF STRIPS
77,BEEF BONELESS SPECIAL TRIM STRIPLOIN
78,BEEF BONELESS BEEF CHEEKS
79,BEEF BONE-IN TOMAHAWK STEAK
80,LAMB BONE-IN BBQ CHOPS
81,BEEF BONELESS DRY AGED PORTERHOUSE
82,BEEF BONE-IN DRY AGED T BONE
83,CHICKEN BONELESS DICED CHICKEN
84,BEEF BONELESS DICED RUMP
85,BEEF BONE-IN BEEF SPARE RIBS
86,BEEF BONELESS WAGYU SANDWICH STEAK
87,BEEF BONE-IN BEEF SHORT RIBS
88,BEEF BONELESS STRIPLOIN DENUDED
89,BEEF BONELESS WAGYU MINCE NO PRESERVATIVE
90,BEEF BONELESS BEEF RUMP STRIPS
91,YIROS MEAT PRESERVATIVE 223 ADDED SULPHITE >10MG/KG
92,BEEF BONELESS DICED BEEF
93,BEEF BONELESS MEAT LOAF
