plu_no,description,sales_mode,price,tare
5000,BEEF PORTERHOUSE STEAK,Weight,33.99,0.100
5001,BEEF RUMP STEAK,Weight,28.99,0.080
5002,BONE IN BEEF T-BONE,Weight,31.99,0.100
5003,BONE IN BEEF Y BONE STEAK,Weight,24.99,0.100
5006,BEEF CORNED SILVERSIDE,Weight,15.99,0.200
5007,BONE IN BEEF SPARE RIBS,Weight,22.99,0.100
5008,BONE IN BEEF OX TAIL JOINTED,Weight,27.99,0.100
5011,BEEF TOPSIDE MINCE SMALL PACK,Weight,17.99,0.080
5104,LAMB BONELESS LAMB LEG BONELESS,Weight,25.99,0.200
5200,BONE IN PORK PORK LOIN CHOPS 1 PACK,Weight,19.99,0.080
5400,MIXED GRILL PACK LARGE PACK,Weight,21.99,0.420
